Analysis-ID,Basis,Purity,Gini,ARI,NMI
52-25,HOUSEHOLD,0.5628387210740152,0.2850965250965251,0.3451842277152354,0.817225145208212
52-25,TRANSMISSION_PAIRS,0.8708080808080808,0.06151515151515151,0.7179979521476397,0.9321139016587955
52-45,HOUSEHOLD,0.7263131612178799,0.15805751617457606,0.5638896096254533,0.8980700241222059
52-45,TRANSMISSION_PAIRS,0.870330421642341,0.04060568086883877,0.737285905198115,0.9500132411609454
52-70,HOUSEHOLD,0.8184751324701585,0.1134500438550023,0.7443968242264786,0.9280443343002635
52-70,TRANSMISSION_PAIRS,0.8508791466778283,0.06964026798458847,0.7616194277075296,0.9430677088817992
93-25,HOUSEHOLD,0.7540828443786104,0.1637298218790027,0.6350093751101112,0.9185086836452376
93-25,TRANSMISSION_PAIRS,0.943546298902336,0.02683647621728117,0.8817964643627226,0.9794082831843539
93-45,HOUSEHOLD,0.8680134361578091,0.10846576692032181,0.800740932600142,0.9534566194948914
93-45,TRANSMISSION_PAIRS,0.9424368558579086,0.029919033866402288,0.8983622518446996,0.9809167529798035
ALL,HOUSEHOLD,0.89375,0.08124999999999999,0.7909648156973591,0.9639798953580814
ALL,TRANSMISSION_PAIRS,0.9777777777777777,0.022222222222222223,0.9619260056918698,0.9930252934224807
