leaf,Phydelity,tp,Household
0,HS1364,60,,5263
1,HS1411,51,,5179
2,HS1391,202,,5341
3,HS1340,91,,5048
4,HS1405,218,,5263
5,HS1518,245,21,5250
6,MH8922,199,,5170
7,MH7842,219,,5002
8,MH7885,24,16,5126
9,MH8766,154,,5057
10,HS1461,8,,5028
11,MH8393,184,,5275
12,MH8424,242,,5261
13,HS1510,242,,5261
14,MH7799,155,,5158
15,HS1385,155,,5158
16,HS1537,11,,5200
17,MH8442,137,,5197
18,HS1567,34,,5039
19,MH7755,57,,5033
20,MH7564,246,1,5143
21,MH7891,54,,5078
22,MH9045,121,,5034
23,MH8186,115,,5249
24,HS1341,117,6,5195
25,MH8354,242,,5261
26,MH8158,174,,5185
27,MH7851,246,,5219
28,HS1520,245,21,5250
29,MH7804,246,,5322
30,HS1294,0,,5147
31,HS1473,283,,5249
32,HS1500,242,,5261
33,MH7385,0,,5147
34,HS1325,23,,5114
35,HS1487,87,,5238
36,MH7884,24,,5126
37,HS1460,98,,5191
38,HS1536,52,17,5270
39,MH8443,245,,5250
40,MH7565,246,,5143
41,MH8688,330,,5001
42,HS1342,189,,5101
43,HS1313,246,1,5143
44,MH8690,285,4,5001
45,MH7843,219,3,5002
46,HS1335,244,10,5073
47,HS1387,246,,5322
48,MH7687,203,20,5228
49,HS1392,246,,5219
50,HS1595,100,8,5234
51,MH7844,240,,5061
52,HS1255,88,,5040
53,MH7887,51,,5179
54,HS1463,174,,5185
55,HS1535,52,17,5270
56,MH8444,245,,5250
57,MH7860,218,,5263
58,MH8089,33,5,5244
59,MH7455,23,,5114
60,HS1402,203,20,5228
61,MH7855,203,,5228
62,HS1328,246,,5143
63,MH7492,91,,5048
64,HS1465,174,18,5185
65,MH8160,98,14,5191
66,MH8308,87,,5238
67,MH8714,201,,5206
68,MH7440,32,7,5129
69,HS1388,189,,5101
70,MH8396,283,,5305
71,HS1562,285,,5001
72,MH8592,194,,5098
73,MH8445,245,,5250
74,MH8451,165,,5180
75,MH7886,24,,5126
76,HS1401,203,,5228
77,HS1375,117,6,5195
78,MH8177,159,,5231
79,MH8309,141,13,5289
80,HS1381,60,,5204
81,MH8041,174,18,5185
82,HS1597,100,,5234
83,MH8765,93,,5313
84,HS1336,244,10,5073
85,MH8390,11,,5200
86,HS1253,0,15,5147
87,HS1273,32,,5129
88,HS1543,158,0,5109
89,HS1563,285,4,5001
90,HS1573,93,,5313
91,MH8183,159,,5200
92,MH7611,244,,5073
93,HS1509,11,,5200
94,HS1409,24,16,5126
95,HS1514,141,,5289
96,MH7800,60,,5204
97,HS1351,203,,5228
98,MH8185,283,,5249
99,MH8691,285,,5001
100,MH7389,88,,5040
101,MH8088,33,5,5244
102,HS1394,219,3,5002
103,MH7505,88,,5040
104,MH8689,330,,5001
105,MH8391,285,,5254
106,HS1250,0,15,5147
107,HS1345,11,9,5070
108,HS1427,98,,5191
109,HS1448,53,,5053
110,HS1564,285,4,5001
111,MH8386,200,19,5130
112,MH7520,246,,5143
113,HS1507,200,19,5130
114,MH7612,244,2,5073
115,HS1408,24,,5126
116,HS1517,137,,5197
117,MH7797,189,,5101
118,HS1531,194,,5098
119,HS1604,121,,5034
120,MH8165,321,,5046
121,HS1393,240,,5061
122,HS1390,202,,5341
123,MH8392,285,,5254
124,HS1417,54,12,5078
125,MH8589,321,,5075
126,MH8126,54,12,5078
127,MH8090,283,11,5317
128,MH8700,34,,5039
129,MH8178,184,,5275
130,MH8925,100,,5234
131,HS1596,199,,5170
132,HS1579,154,,5057
133,MH7852,202,,5341
134,HS1525,165,,5180
135,MH8594,158,,5109
136,HS1516,158,0,5109
137,MH7953,98,14,5191
138,HS1451,282,,5215
139,HS1434,174,,5185
140,HS1256,32,7,5129
141,HS1554,201,,5206
142,HS1445,283,11,5317
143,HS1505,285,,5254
144,MH7627,91,,5048
145,MH8125,53,,5053
146,MH8129,282,,5215
147,HS1376,57,,5033
148,HS1519,245,21,5250
149,MH8611,52,,5270
150,MH7890,11,,5070
151,MH8155,8,,5028
152,HS1474,115,,5249
153,HS1327,246,1,5143
154,MH8924,100,8,5234
155,MH8439,158,,5109
156,HS1413,283,,5053
157,HS1284,23,,5114
158,HS1566,34,,5039
159,HS1416,11,9,5070
160,HS1532,,,5158
161,HS1352,,,5168
162,HS1530,,,5098
163,MH7893,,,5093
164,HS1357,,,5168
165,HS1377,,,5074
166,MH8159,,18,5185
167,MH8447,,,5301
168,HS1607,,,5213
169,HS1455,,,5158
170,MH7346,,,5095
171,MH8137,,,5290
172,MH8052,,,5302
173,HS1450,,13,5289
174,MH8133,,,5289
175,MH8132,,,5258
176,MH8586,,,5066
177,HS1395,,,5002
178,MH7796,,,5040
179,MH8453,,,5329
180,MH8450,,,5180
181,MH8588,,,5066
182,MH8156,,,5038
183,MH7390,,7,5129
184,MH7391,,,5129
185,MH7642,,,5030
186,HS1369,,2,5073
187,HS1544,,0,5109
188,MH7409,,,5084
189,HS1349,,,5181
190,HS1425,,,5269
191,HS1367,,,5336
192,HS1506,,,5185
193,HS1421,,,5245
194,MH7845,,,5078
195,MH9017,,,5283
196,MH7537,,,5265
197,MH8127,,,5158
198,MH9547,,,5008
199,MH8448,,,5312
200,HS1457,,,5258
201,MH7637,,,5101
202,MH7905,,,5245
203,HS1484,,,5035
204,MH8086,,,5087
205,MH8692,,,5017
